================ Training Loss (Sun May  4 17:31:20 2025) ================
================ Training Loss (Sun May  4 17:33:02 2025) ================
================ Training Loss (Sun May  4 17:33:35 2025) ================
================ Training Loss (Sun May  4 17:34:23 2025) ================
================ Training Loss (Sun May  4 17:34:55 2025) ================
================ Training Loss (Sun May  4 17:35:17 2025) ================
================ Training Loss (Sun May  4 17:36:29 2025) ================
================ Training Loss (Sun May  4 17:36:51 2025) ================
(epoch: 109, iters: 192, time: 0.143, data: 0.013) D_A: 0.196 G_A: 0.499 cycle_A: 0.939 idt_A: 0.689 D_B: 0.151 G_B: 0.794 cycle_B: 1.668 idt_B: 0.394 
(epoch: 112, iters: 64, time: 0.146, data: 0.012) D_A: 0.199 G_A: 0.496 cycle_A: 0.917 idt_A: 0.654 D_B: 0.187 G_B: 0.279 cycle_B: 1.518 idt_B: 0.417 
(epoch: 114, iters: 512, time: 0.143, data: 0.011) D_A: 0.166 G_A: 0.428 cycle_A: 0.908 idt_A: 0.710 D_B: 0.151 G_B: 0.346 cycle_B: 1.557 idt_B: 0.401 
(epoch: 117, iters: 384, time: 0.143, data: 0.012) D_A: 0.237 G_A: 0.296 cycle_A: 0.905 idt_A: 0.729 D_B: 0.304 G_B: 0.857 cycle_B: 1.616 idt_B: 0.421 
(epoch: 120, iters: 256, time: 0.142, data: 0.012) D_A: 0.197 G_A: 0.439 cycle_A: 0.912 idt_A: 0.691 D_B: 0.269 G_B: 0.243 cycle_B: 1.480 idt_B: 0.390 
(epoch: 123, iters: 128, time: 0.141, data: 0.013) D_A: 0.159 G_A: 0.478 cycle_A: 0.758 idt_A: 0.744 D_B: 0.184 G_B: 0.427 cycle_B: 1.556 idt_B: 0.344 
(epoch: 125, iters: 576, time: 0.115, data: 0.012) D_A: 0.149 G_A: 0.534 cycle_A: 1.104 idt_A: 0.792 D_B: 0.140 G_B: 0.592 cycle_B: 1.658 idt_B: 0.429 
(epoch: 128, iters: 448, time: 0.140, data: 0.826) D_A: 0.240 G_A: 0.560 cycle_A: 0.886 idt_A: 0.673 D_B: 0.170 G_B: 0.720 cycle_B: 1.508 idt_B: 0.363 
(epoch: 131, iters: 320, time: 0.143, data: 0.012) D_A: 0.170 G_A: 0.508 cycle_A: 0.743 idt_A: 0.666 D_B: 0.174 G_B: 0.559 cycle_B: 1.426 idt_B: 0.343 
(epoch: 134, iters: 192, time: 0.146, data: 0.013) D_A: 0.169 G_A: 0.502 cycle_A: 0.763 idt_A: 0.631 D_B: 0.130 G_B: 0.517 cycle_B: 1.398 idt_B: 0.355 
(epoch: 137, iters: 64, time: 0.166, data: 0.011) D_A: 0.170 G_A: 0.556 cycle_A: 0.805 idt_A: 0.661 D_B: 0.154 G_B: 0.392 cycle_B: 1.600 idt_B: 0.350 
(epoch: 139, iters: 512, time: 0.146, data: 0.013) D_A: 0.157 G_A: 0.440 cycle_A: 0.691 idt_A: 0.626 D_B: 0.152 G_B: 0.456 cycle_B: 1.426 idt_B: 0.323 
(epoch: 142, iters: 384, time: 0.145, data: 0.012) D_A: 0.204 G_A: 0.436 cycle_A: 0.821 idt_A: 0.654 D_B: 0.138 G_B: 0.382 cycle_B: 1.500 idt_B: 0.358 
(epoch: 145, iters: 256, time: 0.148, data: 0.012) D_A: 0.177 G_A: 0.466 cycle_A: 0.832 idt_A: 0.649 D_B: 0.167 G_B: 0.438 cycle_B: 1.453 idt_B: 0.381 
